epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1449,1.6353,3.38176,0.99961,0.66808,0.51667,0.62237,0.375,2.18771,1.74028,0.84225,0.1,0,0
2,11.2359,2.11912,3.43677,1.09732,0.66238,0.51667,0.61473,0.37347,2.20636,1.7644,0.84385,0.0990934,9.34122e-05,9.34122e-05
3,11.6538,2.02997,3.61202,0.9801,0.663,0.51667,0.58043,0.36387,2.20914,1.81729,0.84424,0.0981804,0.000180449,0.000180449
4,11.9009,1.95345,3.3517,1.09166,0.66349,0.51667,0.51794,0.3514,2.23111,1.84244,0.84454,0.0972611,0.00026111,0.00026111
5,12.406,2.44937,3.77759,1.14392,0.77461,0.26667,0.32318,0.23668,2.41732,2.99191,0.86738,0.0963354,0.000335395,0.000335395
6,13.0142,2.05383,2.49439,0.98249,0.66521,0.32345,0.35358,0.21849,3.20251,5.08833,1.02628,0.0954033,0.000403305,0.000403305
7,13.3754,2.33355,2.20416,1.11378,0.22222,0.25,0.29083,0.07883,3.98949,13.8234,1.28379,0.0944648,0.000464839,0.000464839
8,13.7632,2.59423,2.34848,1.29912,0,0,0,0,4.74756,17.5926,1.44787,0.09352,0.000519998,0.000519998
9,14.1298,2.33535,1.61268,1.0382,0,0,0,0,4.82233,15.047,1.5401,0.0925688,0.000568781,0.000568781
10,14.4496,2.1528,1.68361,1.03465,0,0,0,0,4.60873,15.1305,1.54376,0.0916112,0.000611188,0.000611188
11,14.9985,1.84976,1.3916,0.92103,0,0,0,0,4.80888,19.2505,1.62176,0.0906472,0.00064722,0.00064722
12,15.3219,1.83816,1.27136,0.9386,0,0,0,0,4.91077,32.7801,1.78104,0.0896769,0.000676876,0.000676876
13,15.6573,2.25238,1.48589,1.16617,0,0,0,0,5.31548,42.0948,2.24306,0.0887002,0.000700157,0.000700157
14,16.6749,1.86073,1.59118,1.02345,0,0,0,0,5.16464,53.2239,2.20143,0.0877171,0.000717062,0.000717062
15,17.2146,2.26189,1.82287,1.05662,0,0,0,0,4.81652,49.0733,2.13239,0.0867276,0.000727591,0.000727591
16,17.5544,2.51428,1.44572,1.11498,0,0,0,0,4.69439,52.0842,2.05408,0.0857317,0.000731745,0.000731745
17,17.8929,2.10693,1.4168,1.03625,0.00087,0.16667,0.00114,0.00011,4.58574,47.1518,1.9262,0.0847295,0.000729523,0.000729523
18,18.3989,2.6627,2.12058,1.31228,0.00087,0.16667,0.00114,0.00011,4.58574,47.1518,1.9262,0.0837209,0.000720926,0.000720926
19,18.7641,2.04455,1.28939,0.9873,0.002,0.16667,0.00255,0.00051,5.05673,37.1099,2.02003,0.082706,0.000705953,0.000705953
20,19.0857,2.40542,1.48791,1.07382,0.002,0.16667,0.00255,0.00051,5.05673,37.1099,2.02003,0.0816846,0.000684604,0.000684604
21,25.9688,2.53575,1.72853,1.24115,0,0,0,0,5.37711,30.7172,2.22716,0.0806569,0.00065688,0.00065688
22,26.3295,2.1879,1.25119,1.01703,0,0,0,0,5.37711,30.7172,2.22716,0.0796228,0.00062278,0.00062278
23,26.7056,2.03071,1.26232,1.01103,0,0,0,0,5.53914,29.5836,2.53449,0.0785823,0.000582305,0.000582305
24,27.047,1.72654,1.01826,0.82266,0,0,0,0,5.53914,29.5836,2.53449,0.0775355,0.000535454,0.000535454
25,27.6215,1.94161,1.10687,0.99044,0,0,0,0,5.25167,28.7108,2.45441,0.0764822,0.000482227,0.000482227
26,27.934,1.85182,1.09016,0.9417,0,0,0,0,5.25167,28.7108,2.45441,0.0754226,0.000422625,0.000422625
27,28.2709,1.87669,1.06438,0.87932,0,0,0,0,5.74423,27.4623,2.76327,0.0743566,0.000356647,0.000356647
28,28.7863,1.52381,0.98987,0.88211,0,0,0,0,5.74423,27.4623,2.76327,0.0732843,0.000284294,0.000284294
29,29.1208,1.67938,1.21594,0.8745,0,0,0,0,5.76678,30.0357,2.71622,0.0722056,0.000205565,0.000205565
30,29.4322,1.60419,0.88453,0.88177,0,0,0,0,5.76678,30.0357,2.71622,0.0711205,0.00012046,0.00012046
