epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8151,1.61974,3.55599,1.26249,0.67011,0.51667,0.62216,0.37498,2.25693,1.94387,1.16644,0.1,0,0
2,14.0149,2.12852,3.98481,1.52778,0.66569,0.51667,0.62177,0.37484,2.28692,1.98131,1.17255,0.0990942,9.41797e-05,9.41797e-05
3,14.4761,2.63616,4.10915,1.49236,0.66483,0.51667,0.62166,0.36659,2.29102,2.01477,1.17586,0.0981819,0.000181919,0.000181919
4,14.7398,1.98827,3.71684,1.46649,0.6658,0.51667,0.51787,0.34559,2.3033,2.05537,1.17921,0.0972632,0.000263218,0.000263218
5,15.2371,2.38832,4.31622,1.54776,0.78935,0.35,0.48358,0.27733,2.70999,2.06434,1.24572,0.0963381,0.000338076,0.000338076
6,15.5731,2.55423,2.61553,1.54344,0.58654,0.33618,0.31525,0.23791,2.62478,2.54238,1.26387,0.0954065,0.000406493,0.000406493
7,16.1188,2.50438,2.36357,1.48922,0.19733,0.71667,0.45983,0.25532,2.98771,4.97168,1.45078,0.0944685,0.00046847,0.00046847
8,16.4755,3.19244,2.95441,2.03411,0.10754,0.35,0.23658,0.18619,3.72321,6.13815,1.88053,0.093524,0.000524007,0.000524007
9,16.8117,1.71803,1.21314,1.22293,0.03275,0.18333,0.1173,0.04949,3.95104,7.98784,2.00214,0.0925731,0.000573103,0.000573103
10,17.1466,2.28275,1.62273,1.52676,0.01029,0.1,0.01336,0.0037,4.66836,18.5464,2.5269,0.0916158,0.000615758,0.000615758
11,17.4761,2.21472,1.29071,1.36503,0.00641,0.01667,0.00375,0.00112,4.79015,42.2148,2.54479,0.090652,0.000651973,0.000651973
12,18.0961,2.14973,1.61989,1.4245,0.00877,0.01667,0.00492,0.00195,5.11763,44.4124,2.86469,0.0896817,0.000681747,0.000681747
13,18.4272,2.13193,1.43197,1.49261,0.01389,0.01667,0.00949,0.00095,4.83093,40.0756,3.05811,0.0887051,0.000705081,0.000705081
14,19.6934,2.17497,2.19154,1.55216,0.03333,0.01667,0.01912,0.00574,4.76287,16.8163,3.0518,0.087722,0.000721974,0.000721974
15,20.3024,2.15588,2.1802,1.49822,0,0,0,0,4.55502,13.5238,2.85981,0.0867324,0.000732427,0.000732427
16,20.6191,2.41131,1.3839,1.47144,0,0,0,0,4.40411,10.2254,3.05095,0.0857364,0.000736439,0.000736439
17,20.9655,1.78321,1.31215,1.33787,0,0,0,0,4.26662,9.37175,3.14068,0.084734,0.000734011,0.000734011
18,21.2758,2.34281,1.71427,1.75379,0,0,0,0,4.26662,9.37175,3.14068,0.0837251,0.000725142,0.000725142
19,21.7753,2.3271,1.67419,1.46926,0,0,0,0,4.20444,10.6476,2.98012,0.0827098,0.000709832,0.000709832
20,22.3051,2.46675,1.90282,1.58693,0,0,0,0,4.20444,10.6476,2.98012,0.0816881,0.000688082,0.000688082
21,29.6256,1.75352,1.37749,1.34789,0,0,0,0,4.15044,13.3207,3.03785,0.0806599,0.000659891,0.000659891
22,30.1264,2.14114,1.32355,1.35353,0,0,0,0,4.15044,13.3207,3.03785,0.0796253,0.00062526,0.00062526
23,30.4706,1.86747,1.20146,1.25186,0,0,0,0,4.51745,15.3835,3.08772,0.0785842,0.000584189,0.000584189
24,30.9277,1.82441,1.29651,1.10005,0,0,0,0,4.51745,15.3835,3.08772,0.0775367,0.000536676,0.000536676
25,31.2536,1.67283,1.09383,1.20138,0,0,0,0,4.17554,15.1351,2.91593,0.0764827,0.000482724,0.000482724
26,31.5563,2.17321,1.22368,1.45289,0,0,0,0,4.17554,15.1351,2.91593,0.0754223,0.00042233,0.00042233
27,32.1446,2.1121,1.25096,1.15323,0,0,0,0,3.82749,14.9667,2.77507,0.0743555,0.000355497,0.000355497
28,32.659,1.47983,0.97898,1.06248,0,0,0,0,3.82749,14.9667,2.77507,0.0732822,0.000282222,0.000282222
29,32.9714,1.83011,1.08124,1.20965,0,0,0,0,3.87797,11.9142,2.78694,0.0722025,0.000202507,0.000202507
30,33.4734,1.44513,0.9226,1.10367,0,0,0,0,3.87797,11.9142,2.78694,0.0711164,0.000116352,0.000116352
