epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.017,1.08127,4.88348,1.08385,0.66716,0.51667,0.62239,0.37498,1.39296,2.52014,0.87617,0.1,0,0
2,12.695,1.58878,6.52286,1.30398,0.66755,0.51667,0.62171,0.37486,1.413,2.59455,0.88328,0.0990997,9.97006e-05,9.97006e-05
3,12.9802,1.28155,5.53072,0.99204,0.66629,0.51667,0.51794,0.35138,1.42643,2.65364,0.8862,0.0981926,0.000192602,0.000192602
4,13.3546,1.26407,5.46738,1.08548,0.81673,0.31715,0.45973,0.2932,1.71388,2.48054,0.91913,0.0972787,0.000278705,0.000278705
5,13.7559,1.2968,3.15391,1.0764,0.66667,0.15351,0.2517,0.11791,2.33833,5.10492,1.35349,0.096358,0.000358009,0.000358009
6,14.1909,1.12639,2.99508,0.92342,0.41876,0.16667,0.16969,0.03881,3.00375,6.87911,1.80553,0.0954305,0.000430514,0.000430514
7,14.545,1.68403,3.51211,1.29002,0.05458,0.36667,0.09006,0.02737,3.14342,8.87543,1.73231,0.0944962,0.00049622,0.00049622
8,14.9394,1.32381,2.71734,1.10492,0.08395,0.33333,0.11299,0.03795,2.98882,11.9224,1.80793,0.0935551,0.000555127,0.000555127
9,15.3502,1.29004,2.02001,1.09038,0.16739,0.16667,0.00134,0.00067,2.9085,19.8885,1.66601,0.0926072,0.000607235,0.000607235
10,15.9092,1.24661,2.07252,0.96636,0.00045,0.16667,0.0006,0.00036,2.94157,38.8879,1.80384,0.0916525,0.000652545,0.000652545
11,16.2845,1.3987,2.57539,1.15315,0.0004,0.16667,0.00044,0.00013,3.01652,60.6249,1.91015,0.0906911,0.000691055,0.000691055
12,17.3047,1.31025,1.76119,1.0786,0.00048,0.16667,0.00052,0.00021,3.01514,101.893,1.96454,0.0897228,0.000722767,0.000722767
13,17.8348,1.70604,2.58427,1.41945,0.00074,0.16667,0.00083,0.00017,2.70169,108.492,1.87168,0.0887477,0.00074768,0.00074768
14,18.2082,1.44076,2.36512,1.21305,0,0,0,0,2.40643,124.678,1.87216,0.0877658,0.000765793,0.000765793
15,18.5718,1.42018,1.87395,1.08822,0,0,0,0,2.47244,131.872,1.97069,0.0867771,0.000777108,0.000777108
16,18.9267,1.4457,1.61959,1.05058,0,0,0,0,2.84388,183.972,2.114,0.0857816,0.000781624,0.000781624
17,19.3167,1.38853,1.77795,1.11392,0,0,0,0,3.3342,209.669,2.47524,0.0847793,0.000779341,0.000779341
18,19.8664,1.69154,2.7424,1.26484,0,0,0,0,3.3342,209.669,2.47524,0.0837703,0.00077026,0.00077026
19,20.228,1.26989,1.65782,0.97401,0,0,0,0,3.3295,195.325,2.45587,0.0827544,0.000754379,0.000754379
20,20.8221,1.46741,2.13892,1.05772,0,0,0,0,3.3295,195.325,2.45587,0.0817317,0.000731699,0.000731699
21,27.7487,1.6708,2.72282,1.50123,0,0,0,0,3.4882,152.447,2.64801,0.0807022,0.000702221,0.000702221
22,28.2853,1.85507,2.65503,1.32386,0,0,0,0,3.4882,152.447,2.64801,0.0796659,0.000665944,0.000665944
23,28.6451,1.49836,1.93296,1.31349,0,0,0,0,3.70891,130.641,2.70772,0.0786229,0.000622867,0.000622867
24,29.2066,1.25647,1.70496,0.98002,0,0,0,0,3.70891,130.641,2.70772,0.077573,0.000572992,0.000572992
25,29.5571,1.29156,2.06205,1.13199,0,0,0,0,3.67386,133.909,2.5545,0.0765163,0.000516318,0.000516318
26,29.8949,1.37686,1.83775,1.13216,0,0,0,0,3.67386,133.909,2.5545,0.0754528,0.000452845,0.000452845
27,30.2886,1.24105,2.03024,0.97123,0,0,0,0,3.57568,104.525,2.43169,0.0743826,0.000382573,0.000382573
28,30.8236,1.20332,1.47525,1.02708,0,0,0,0,3.57568,104.525,2.43169,0.0733055,0.000305503,0.000305503
29,31.1604,1.19449,1.60339,1.01662,0,0,0,0,3.57434,77.7822,2.34883,0.0722216,0.000221633,0.000221633
30,31.4893,1.0193,1.4943,0.98551,0,0,0,0,3.57434,77.7822,2.34883,0.071131,0.000130965,0.000130965
