epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.697,2.1268,4.40255,1.971,0.00066,0.05435,0.00053,0.00018,3.07628,5.311,2.84922,0.070084,0.003324,0.003324
2,240.88,2.08678,4.19225,1.96679,0.00108,0.00492,0.0007,0.00031,3.70471,inf,3.80571,0.039425,0.00599825,0.00599825
3,338,2.03532,4.07546,1.93656,0.00287,0.05325,0.00252,0.00144,2.70298,5.20254,2.56721,0.00810588,0.00801251,0.00801251
4,429.537,1.98452,3.96053,1.9168,0.16794,0.17708,0.00984,0.00366,2.37806,4.13341,2.31892,0.00703,0.00703,0.00703
5,521.936,1.94317,3.84247,1.87705,0.72942,0.01896,0.01998,0.00874,2.22315,3.87269,2.14821,0.00604,0.00604,0.00604
6,611.866,1.90712,3.76506,1.85052,0.57902,0.03304,0.01608,0.00497,2.31382,3.87263,2.22034,0.00505,0.00505,0.00505
7,702.738,1.88214,3.69328,1.83092,0.78734,0.02462,0.02867,0.01206,2.18229,4.11389,2.09348,0.00406,0.00406,0.00406
8,794.007,1.85264,3.63507,1.8143,0.77426,0.02701,0.03905,0.01569,2.16644,3.92251,2.11239,0.00307,0.00307,0.00307
9,883.494,1.83535,3.59246,1.79636,0.74238,0.02991,0.04416,0.01651,2.10895,3.72488,2.02698,0.00208,0.00208,0.00208
10,973.316,1.81437,3.5521,1.78058,0.78792,0.03742,0.0567,0.02636,2.06248,3.58854,2.00666,0.00109,0.00109,0.00109
