epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3803,0.90153,5.37143,1.83171,0.66598,0.51667,0.62226,0.37495,1.34261,2.58754,1.56681,0.1,0,0
2,14.7986,1.48457,5.89632,2.27609,0.6672,0.51667,0.62164,0.37488,1.34989,2.66142,1.5705,0.099071,7.09814e-05,7.09814e-05
3,15.0945,1.34909,5.94516,1.99828,0.66689,0.51667,0.58048,0.36397,1.35749,2.7122,1.57292,0.0981371,0.000137126,0.000137126
4,15.462,1.01118,5.71555,1.8166,0.81246,0.33542,0.35483,0.23882,1.41599,3.25642,1.60766,0.0971984,0.000198433,0.000198433
5,15.8213,1.14381,3.63867,1.90473,0.99125,0.16667,0.18318,0.16313,1.88007,5.91427,2.11179,0.0962549,0.000254903,0.000254903
6,16.1585,1.03715,3.25201,1.74546,0.00231,0.01667,0.00332,0.00265,2.31231,9.36344,2.56002,0.0953065,0.000306536,0.000306536
7,16.506,1.41738,3.88857,2.13863,0.00088,0.01667,0.00053,0.00035,2.44909,14.682,2.64392,0.0943533,0.000353331,0.000353331
8,16.8734,1.39609,2.77241,2.2301,0.00877,0.08333,0.08474,0.00847,2.51654,28.2543,2.80672,0.0933953,0.00039529,0.00039529
9,17.2298,1.27446,2.31127,2.00524,0.08454,0.11667,0.10451,0.01049,2.82586,38.6097,3.48415,0.0924324,0.000432411,0.000432411
10,18.7015,1.02956,2.16406,1.67174,0.00347,0.21667,0.0032,0.0009,2.6286,42.2939,3.09111,0.0914647,0.000464695,0.000464695
11,19.2762,1.26498,2.7735,1.89228,0.00586,0.2,0.0043,0.00144,2.71794,53.3736,3.4373,0.0904921,0.000492142,0.000492142
12,19.6247,1.22643,1.87951,1.8598,0.16766,0.16667,0.0013,0.00068,2.94068,56.3023,3.68588,0.0895148,0.000514752,0.000514752
13,20.1562,1.43005,2.34834,2.20903,0.00122,0.16667,0.00163,0.00065,2.93803,61.7388,3.78465,0.0885325,0.000532525,0.000532525
14,20.7422,1.23279,2.72777,2.03703,0.00176,0.16667,0.0021,0.00147,2.98705,66.6815,3.84926,0.0875455,0.00054546,0.00054546
15,21.3069,1.26957,1.68381,1.91392,0.00172,0.16667,0.0024,0.00168,2.87443,69.94,4.04713,0.0865536,0.000553559,0.000553559
16,21.6617,1.15182,1.58505,1.73584,0.00205,0.16667,0.00286,0.00172,2.97225,84.2884,4.12165,0.0855568,0.00055682,0.00055682
17,22.0415,1.11173,1.40479,1.76471,0.0029,0.16667,0.00395,0.00158,2.93594,108.025,4.02423,0.0845552,0.000555244,0.000555244
18,22.3681,1.28216,2.35603,1.98021,0.0029,0.16667,0.00395,0.00158,2.93594,108.025,4.02423,0.0835488,0.000548831,0.000548831
19,22.9317,1.01381,1.41378,1.65864,0.00158,0.16667,0.00195,0.00059,2.95197,105.195,3.78057,0.0825376,0.00053758,0.00053758
20,23.4463,1.21605,1.95325,1.82454,0.00158,0.16667,0.00195,0.00059,2.95197,105.195,3.78057,0.0815215,0.000521493,0.000521493
21,31.4842,1.22828,2.25996,2.05885,0.00117,0.16667,0.00135,0.00027,3.10026,102.251,4.10626,0.0805006,0.000500568,0.000500568
22,31.8249,1.04249,1.72703,1.79088,0.00117,0.16667,0.00135,0.00027,3.10026,102.251,4.10626,0.0794748,0.000474807,0.000474807
23,32.1898,1.08598,2.2504,1.92048,0.00126,0.16667,0.00152,0.0003,2.78793,77.2958,3.54665,0.0784442,0.000444208,0.000444208
24,32.5118,0.85761,1.61285,1.51253,0.00126,0.16667,0.00152,0.0003,2.78793,77.2958,3.54665,0.0774088,0.000408772,0.000408772
25,32.8501,1.04164,1.97624,1.6816,0.00143,0.16667,0.00161,0.00032,2.90156,63.1798,3.75034,0.0763685,0.000368499,0.000368499
26,33.1697,1.07756,1.61116,1.78662,0.00143,0.16667,0.00161,0.00032,2.90156,63.1798,3.75034,0.0753234,0.000323388,0.000323388
27,33.5307,1.05477,1.44741,1.7354,0.00142,0.16667,0.00164,0.00033,2.97384,53.4763,3.89742,0.0742734,0.000273441,0.000273441
28,33.8569,0.98791,1.3066,1.63194,0.00142,0.16667,0.00164,0.00033,2.97384,53.4763,3.89742,0.0732187,0.000218656,0.000218656
29,34.4463,1.0146,1.37535,1.54874,0.00098,0.16667,0.00147,0.00029,3.17777,48.1163,4.10217,0.072159,0.000159034,0.000159034
30,34.7985,0.98814,1.61874,1.60275,0.00098,0.16667,0.00147,0.00029,3.17777,48.1163,4.10217,0.0710946,9.45751e-05,9.45751e-05
