epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2434,0.68418,3.52886,1.31801,0.66793,0.51667,0.62241,0.37496,1.09374,1.70462,1.16477,0.1,0,0
2,10.8833,1.21668,4.15523,1.70432,0.66673,0.51667,0.58043,0.36668,1.10309,1.77249,1.17017,0.0990967,9.66976e-05,9.66976e-05
3,11.1412,1.1114,3.33065,1.48678,0.66774,0.51667,0.51794,0.35445,1.1099,1.81628,1.17416,0.0981868,0.00018679,0.00018679
4,11.4944,0.84286,3.76226,1.34856,0.72852,0.35,0.49581,0.31615,1.33458,1.8301,1.2642,0.0972703,0.000270278,0.000270278
5,11.8469,0.90086,2.26599,1.38406,0.05833,0.26667,0.2039,0.05273,1.55125,5.82605,1.50164,0.0963472,0.000347162,0.000347162
6,12.205,0.87515,2.16562,1.30173,0.00093,0.01667,0.00114,0.00059,2.20246,13.4971,2.40503,0.0954174,0.00041744,0.00041744
7,12.5699,1.07928,2.9672,1.54678,0.00064,0.01667,0.00082,0.0003,2.38252,28.9585,2.51616,0.0944811,0.000481114,0.000481114
8,12.9507,1.08226,1.60233,1.59836,0.00067,0.01667,0.00129,0.00055,2.3332,26.7899,2.51399,0.0935382,0.000538182,0.000538182
9,13.3121,1.01256,1.55067,1.48718,0,0,0,0,2.65189,35.7085,2.73686,0.0925886,0.000588646,0.000588646
10,14.1222,0.81226,1.23671,1.25372,0,0,0,0,2.94262,50.431,3.55513,0.0916325,0.000632506,0.000632506
11,16.0251,1.07306,1.89993,1.45434,0,0,0,0,3.12072,62.3534,4.02467,0.0906698,0.00066976,0.00066976
12,16.5648,0.99037,1.47339,1.3244,0,0,0,0,3.17282,55.8281,4.32371,0.0897004,0.00070041,0.00070041
13,16.9333,1.08641,1.37327,1.49564,0,0,0,0,3.02135,85.3406,4.00531,0.0887245,0.000724454,0.000724454
14,17.3139,0.92307,1.45448,1.41587,0,0,0,0,3.00581,151.652,3.97262,0.0877419,0.000741894,0.000741894
15,17.6857,0.99011,1.21257,1.35095,0,0,0,0,2.88962,226.635,3.72472,0.0867527,0.00075273,0.00075273
16,18.0652,1.0483,1.23165,1.30419,0,0,0,0,2.79745,251.676,3.49256,0.085757,0.00075696,0.00075696
17,18.4204,0.91315,1.24179,1.34912,0,0,0,0,2.82752,279.106,3.44806,0.0847546,0.000754586,0.000754586
18,18.9424,1.23709,1.79901,1.52246,0,0,0,0,2.82752,279.106,3.44806,0.0837456,0.000745606,0.000745606
19,19.3275,0.87632,0.90339,1.22271,0,0,0,0,2.71633,178.184,3.58816,0.08273,0.000730022,0.000730022
20,19.6663,1.10319,1.49386,1.48031,0,0,0,0,2.71633,178.184,3.58816,0.0817078,0.000707834,0.000707834
21,25.6976,1.13316,1.40331,1.53828,0,0,0,0,2.60589,118.706,3.29952,0.080679,0.00067904,0.00067904
22,26.2902,1.03334,1.33009,1.39798,0,0,0,0,2.60589,118.706,3.29952,0.0796436,0.000643642,0.000643642
23,26.6639,0.94531,1.18669,1.37412,0,0,0,0,2.46609,72.3086,3.47719,0.0786016,0.000601638,0.000601638
24,27.0197,0.85275,0.86473,1.11415,0,0,0,0,2.46609,72.3086,3.47719,0.077553,0.00055303,0.00055303
25,27.587,0.79863,1.05562,1.22586,0,0,0,0,2.3792,60.0281,3.25796,0.0764978,0.000497818,0.000497818
26,27.9176,0.8647,0.9535,1.24072,0,0,0,0,2.3792,60.0281,3.25796,0.075436,0.000436,0.000436
27,28.2676,0.85177,0.9323,1.20862,0,0,0,0,2.3611,48.1777,3.43642,0.0743676,0.000367578,0.000367578
28,28.5878,0.7364,0.83274,1.08184,0,0,0,0,2.3611,48.1777,3.43642,0.0732926,0.00029255,0.00029255
29,28.9368,0.89139,0.90035,1.13055,0,0,0,0,2.44642,35.9779,3.42634,0.0722109,0.000210918,0.000210918
30,29.2674,0.67912,0.88359,1.0968,0,0,0,0,2.44642,35.9779,3.42634,0.0711227,0.000122682,0.000122682
