epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5058,1.23044,3.77711,1.13019,0.66748,0.51667,0.62224,0.37496,1.55391,1.91889,0.95934,0.1,0,0
2,12.1229,1.7457,4.58166,1.41146,0.66736,0.51667,0.58037,0.36663,1.5701,1.97972,0.96405,0.09911,0.000109957,0.000109957
3,12.3613,1.58537,3.86868,1.15434,0.66441,0.51667,0.58041,0.36385,1.58133,2.01515,0.96837,0.0982124,0.000212427,0.000212427
4,12.7969,1.37448,4.16885,1.27951,0.66678,0.51667,0.51805,0.36801,1.59193,2.04944,0.96922,0.0973074,0.000307411,0.000307411
5,13.2028,1.32688,3.91316,1.15363,0.69719,0.26667,0.48835,0.37482,2.01859,2.74856,1.0068,0.0963949,0.000394908,0.000394908
6,13.8621,1.1075,2.43992,0.98486,0.73975,0.08333,0.10332,0.0491,2.37861,6.17905,1.30325,0.0954749,0.000474919,0.000474919
7,14.4258,1.57985,2.4695,1.21305,0.02222,0.16667,0.03451,0.02623,2.7223,13.0741,1.46244,0.0945474,0.000547444,0.000547444
8,14.8247,1.96049,2.70893,1.42013,0.01746,0.1,0.0268,0.01576,3.42497,40.4119,1.9531,0.0936125,0.000612482,0.000612482
9,15.2172,1.61678,1.64471,1.31463,0.02778,0.08333,0.04833,0.0237,3.35589,61.289,1.75507,0.09267,0.000670033,0.000670033
10,15.5763,1.36385,1.95252,1.09782,0,0,0,0,3.33716,106.261,1.97807,0.0917201,0.000720098,0.000720098
11,16.7683,1.72016,2.42177,1.23262,0,0,0,0,3.76186,193.127,2.50213,0.0907627,0.000762677,0.000762677
12,17.1398,1.69323,2.02473,1.3222,0,0,0,0,3.79042,315.6,2.5027,0.0897978,0.000797769,0.000797769
13,17.5354,2.10003,2.53473,1.5993,0,0,0,0,3.72258,359.197,2.75467,0.0888254,0.000825375,0.000825375
14,17.9154,1.74714,2.08142,1.46997,0,0,0,0,3.70832,401.17,2.96268,0.0878455,0.000845494,0.000845494
15,18.3157,1.59012,1.81546,1.29735,0,0,0,0,3.65044,502.983,2.98683,0.0868581,0.000858127,0.000858127
16,18.6987,2.02478,1.51159,1.30615,0,0,0,0,3.70957,689.33,3.07384,0.0858633,0.000863273,0.000863273
17,19.0535,1.45422,1.38627,1.11209,0,0,0,0,4.02492,1087.32,3.3236,0.0848609,0.000860933,0.000860933
18,19.5966,1.68954,2.25218,1.25751,0,0,0,0,4.02492,1087.32,3.3236,0.0838511,0.000851106,0.000851106
19,19.9512,1.51939,1.15895,1.1166,0,0,0,0,3.65041,967.61,2.39212,0.0828338,0.000833793,0.000833793
20,20.3106,1.37464,1.79724,1.20785,0,0,0,0,3.65041,967.61,2.39212,0.081809,0.000808993,0.000808993
21,26.474,1.83681,2.15648,1.46096,0,0,0,0,3.79007,625.369,2.79457,0.0807767,0.000776707,0.000776707
22,27.023,1.60902,2.0951,1.14929,0,0,0,0,3.79007,625.369,2.79457,0.0797369,0.000736935,0.000736935
23,27.4526,1.6053,1.89944,1.30919,0,0,0,0,3.6393,519.399,2.76017,0.0786897,0.000689676,0.000689676
24,27.7884,1.34371,1.43868,1.07497,0,0,0,0,3.6393,519.399,2.76017,0.0776349,0.000634931,0.000634931
25,28.4089,1.29744,1.51056,1.13054,0,0,0,0,3.4268,397.422,3.0311,0.0765727,0.000572699,0.000572699
26,28.7509,1.6313,1.68983,1.22948,0,0,0,0,3.4268,397.422,3.0311,0.075503,0.00050298,0.00050298
27,29.1282,1.27657,1.28607,0.96013,0,0,0,0,3.27604,321.818,3.07759,0.0744258,0.000425776,0.000425776
28,29.4683,1.04366,1.31426,0.88229,0,0,0,0,3.27604,321.818,3.07759,0.0733411,0.000341084,0.000341084
29,30.0289,1.33718,1.47598,1.02286,0,0,0,0,3.27175,229.912,3.0278,0.0722489,0.000248907,0.000248907
30,30.3732,1.23875,1.30466,1.0834,0,0,0,0,3.27175,229.912,3.0278,0.0711492,0.000149242,0.000149242
