epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07082,0.98338,3.7697,1.15481,0.66772,0.51667,0.62237,0.37497,1.44875,1.97015,1.01392,0.1,0,0
2,10.0634,1.38191,4.23084,1.3364,0.66553,0.51667,0.62159,0.37485,1.45421,2.01235,1.01191,0.0990887,8.86748e-05,8.86748e-05
3,10.472,1.30426,3.9019,1.16648,0.6652,0.51667,0.58048,0.36393,1.46354,2.05632,1.01865,0.0981713,0.000171299,0.000171299
4,11.0544,1.30407,4.36291,1.40978,0.76834,0.35,0.35762,0.24925,1.53854,2.69247,1.02999,0.0972479,0.000247873,0.000247873
5,11.6303,1.43056,2.79408,1.28443,0.99418,0.16667,0.32758,0.22224,1.90143,4.13459,1.06159,0.0963184,0.000318396,0.000318396
6,12.0571,1.32546,1.71706,1.12907,0.16667,0.08333,0.125,0.025,2.38737,9.18977,1.39833,0.0953829,0.000382869,0.000382869
7,12.4045,1.40254,2.13546,1.26731,0,0,0,0,3.11948,9.07724,1.97874,0.0944413,0.000441291,0.000441291
8,13.0113,1.35318,2.51215,1.26362,0,0,0,0,3.05527,9.12657,1.96191,0.0934937,0.000493663,0.000493663
9,13.3942,1.35509,1.81207,1.20305,0,0,0,0,3.35356,9.59315,2.06333,0.09254,0.000539984,0.000539984
10,14.4379,1.53517,1.67897,1.3789,0,0,0,0,3.38302,11.0147,2.16186,0.0915803,0.000580255,0.000580255
11,14.7667,1.27149,1.43295,1.16495,0,0,0,0,3.1627,19.1281,2.12857,0.0906145,0.000614476,0.000614476
12,15.101,1.49674,1.87801,1.37334,0,0,0,0,3.02775,37.8381,2.0975,0.0896426,0.000642645,0.000642645
13,15.4264,1.56573,2.56557,1.27793,0,0,0,0,2.93477,69.12,2.15344,0.0886648,0.000664765,0.000664765
14,16.0331,1.42986,2.57761,1.36935,0,0,0,0,2.7647,95.6207,2.19889,0.0876808,0.000680834,0.000680834
15,16.379,1.2904,1.70622,1.22616,0,0,0,0,2.89939,120.784,2.33046,0.0866909,0.000690852,0.000690852
16,16.7258,1.62346,1.88938,1.35593,0,0,0,0,3.42038,250.793,2.72839,0.0856948,0.00069482,0.00069482
17,17.0558,1.34005,1.10389,1.30633,0,0,0,0,3.53617,336.301,2.55875,0.0846927,0.000692738,0.000692738
18,17.3792,1.57789,1.52003,1.50742,0,0,0,0,3.53617,336.301,2.55875,0.0836846,0.000684604,0.000684604
19,17.7144,1.20679,1.09073,1.10683,0,0,0,0,3.42639,381.746,2.66898,0.0826704,0.000670421,0.000670421
20,18.0551,1.08187,1.37875,1.18832,0,0,0,0,3.42639,381.746,2.66898,0.0816502,0.000650187,0.000650187
21,25.049,1.71533,1.63673,1.77418,0,0,0,0,3.18125,347.06,2.69425,0.0806239,0.000623902,0.000623902
22,25.6534,1.25684,1.48899,1.10674,0,0,0,0,3.18125,347.06,2.69425,0.0795916,0.000591567,0.000591567
23,25.9835,1.45299,1.29895,1.45128,0,0,0,0,2.89277,196.845,2.38852,0.0785532,0.000553182,0.000553182
24,26.5409,0.95089,0.90058,0.91171,0,0,0,0,2.89277,196.845,2.38852,0.0775087,0.000508746,0.000508746
25,26.914,1.02143,0.99838,1.11437,0,0,0,0,3.16546,110.66,2.61114,0.0764583,0.000458259,0.000458259
26,27.2646,1.32142,1.2513,1.23843,0,0,0,0,3.16546,110.66,2.61114,0.0754017,0.000401722,0.000401722
27,27.8243,0.95539,0.97806,0.99402,0,0,0,0,3.11348,91.8322,2.36174,0.0743391,0.000339135,0.000339135
28,28.1608,0.87156,0.85614,0.98553,0,0,0,0,3.11348,91.8322,2.36174,0.0732705,0.000270497,0.000270497
29,28.4866,0.89258,0.94825,0.98731,0,0,0,0,2.91564,65.5083,2.07183,0.0721958,0.000195809,0.000195809
30,28.9956,0.96098,1.0851,1.11504,0,0,0,0,2.91564,65.5083,2.07183,0.0711151,0.00011507,0.00011507
