epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82247,1.14859,3.50948,1.41948,0.66753,0.51667,0.62239,0.37497,1.43038,1.81893,1.11785,0.1,0,0
2,9.39592,1.65955,4.42677,1.64432,0.67086,0.51667,0.58041,0.36669,1.43787,1.88135,1.12216,0.0990904,9.04089e-05,9.04089e-05
3,9.81806,1.30342,3.92441,1.32555,0.67135,0.51667,0.518,0.35149,1.45916,1.9216,1.12966,0.0981746,0.000174636,0.000174636
4,10.2815,1.11606,3.87749,1.33895,0.79325,0.3342,0.52499,0.29628,1.83508,1.69027,1.2725,0.0972527,0.00025268,0.00025268
5,10.6407,1.26328,2.27724,1.34441,0.0625,0.25,0.17395,0.06877,2.66879,4.15455,1.80949,0.0963245,0.000324543,0.000324543
6,10.9787,1.30185,2.2809,1.31757,0.05556,0.08333,0.09667,0.01933,2.48149,5.78169,1.69548,0.0953902,0.000390223,0.000390223
7,11.574,1.50595,2.22522,1.50013,0.00054,0.16667,0.00086,0.00069,2.65109,7.99708,1.85781,0.0944497,0.000449721,0.000449721
8,11.9622,1.95511,2.16866,1.93313,0.00044,0.16667,0.00095,0.00067,2.91115,11.8324,1.9767,0.093503,0.000503037,0.000503037
9,12.4693,1.22224,1.7505,1.2966,0.16771,0.16667,0.00224,0.00092,3.0211,14.9301,2.00882,0.0925502,0.000550171,0.000550171
10,13.0138,1.37361,1.41054,1.42322,0.16801,0.16667,0.00178,0.00105,3.03833,15.6704,2.17456,0.0915911,0.000591123,0.000591123
11,13.3649,1.44467,2.02676,1.53501,0.16789,0.16667,0.00149,0.0009,2.91271,19.3325,2.13469,0.0906259,0.000625892,0.000625892
12,13.7219,1.45235,1.28019,1.45694,0.00039,0.16667,0.00057,0.00028,3.10934,22.6124,2.40674,0.0896545,0.000654479,0.000654479
13,14.5707,1.75322,2.04911,1.83285,0,0,0,0,3.15968,37.0666,2.47129,0.0886769,0.000676885,0.000676885
14,14.9065,1.2379,1.65797,1.443,0,0,0,0,3.14316,53.4051,2.65149,0.0876931,0.000693108,0.000693108
15,15.2339,1.40598,1.76095,1.48491,0,0,0,0,2.79657,64.6629,2.8679,0.0867031,0.000703149,0.000703149
16,15.6806,1.70431,1.31149,1.57261,0,0,0,0,2.80149,98.6941,2.85133,0.085707,0.000707007,0.000707007
17,16.2437,1.45062,1.38403,1.47157,0,0,0,0,2.79906,132.927,2.9883,0.0847047,0.000704684,0.000704684
18,16.575,1.24735,1.72319,1.26231,0,0,0,0,2.79906,132.927,2.9883,0.0836962,0.000696178,0.000696178
19,16.9407,1.26445,1.15919,1.34305,0,0,0,0,2.7604,128.665,2.87773,0.0826815,0.00068149,0.00068149
20,17.268,1.4157,1.34622,1.41485,0,0,0,0,2.7604,128.665,2.87773,0.0816606,0.000660621,0.000660621
21,24.0819,1.71918,1.54411,2.07829,0,0,0,0,2.61585,86.9806,2.59021,0.0806336,0.000633568,0.000633568
22,24.4648,1.47237,1.5555,1.77907,0,0,0,0,2.61585,86.9806,2.59021,0.0796003,0.000600334,0.000600334
23,25.004,1.51212,1.45232,1.76796,0,0,0,0,2.4494,73.5841,2.47199,0.0785609,0.000560918,0.000560918
24,25.36,0.93554,0.91883,1.05573,0,0,0,0,2.4494,73.5841,2.47199,0.0775153,0.000515319,0.000515319
25,25.699,1.24261,1.27309,1.4021,0,0,0,0,2.3445,55.1925,2.35566,0.0764635,0.000463539,0.000463539
26,26.0208,1.30157,1.18411,1.48524,0,0,0,0,2.3445,55.1925,2.35566,0.0754056,0.000405576,0.000405576
27,26.3503,1.15339,1.16984,1.22831,0,0,0,0,2.4468,36.2298,2.31573,0.0743414,0.000341431,0.000341431
28,26.8332,0.96195,1.04945,1.16866,0,0,0,0,2.4468,36.2298,2.31573,0.0732711,0.000271104,0.000271104
29,27.1887,1.0091,1.13639,1.11038,0,0,0,0,2.36326,30.25,2.1883,0.0721946,0.000194594,0.000194594
30,27.5366,1.22633,1.2529,1.42864,0,0,0,0,2.36326,30.25,2.1883,0.0711119,0.000111903,0.000111903
