epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3749,0.90745,3.62313,1.34214,0.66817,0.51667,0.62241,0.37499,1.3178,1.94156,1.16866,0.1,0,0
2,10.0087,1.43321,4.6805,1.66716,0.66804,0.51667,0.62162,0.37489,1.32015,1.99129,1.17239,0.099101,0.000101049,0.000101049
3,10.2846,1.24554,3.88491,1.41268,0.66894,0.51667,0.51803,0.34598,1.335,2.04329,1.17671,0.0981952,0.000195198,0.000195198
4,10.7643,1.19896,3.95857,1.47599,0.82322,0.34119,0.36967,0.25475,1.63204,2.0266,1.28451,0.0972824,0.000282444,0.000282444
5,11.108,1.31797,2.46744,1.5287,0.58199,0.08854,0.11636,0.04794,1.94167,4.79905,1.44621,0.0963628,0.00036279,0.00036279
6,11.4671,1.11147,2.06527,1.2695,0.01104,0.2,0.05373,0.01989,2.19837,7.61732,1.6024,0.0954362,0.000436234,0.000436234
7,12.0439,1.41589,2.03946,1.55113,0.06389,0.11667,0.10241,0.01149,2.3147,11.5501,1.83985,0.0945028,0.000502778,0.000502778
8,12.3981,1.56033,2.10185,1.74584,0.00538,0.01667,0.00443,0.00266,2.37422,15.4697,1.96537,0.0935624,0.000562419,0.000562419
9,12.7673,1.30305,1.74716,1.53596,0.01991,0.1,0.02722,0.01878,2.28199,19.5469,2.08599,0.0926152,0.00061516,0.00061516
10,13.0803,1.15003,1.55321,1.31534,0.03333,0.08333,0.036,0.0216,2.52925,22.1868,2.34803,0.091661,0.000660999,0.000660999
11,13.4078,1.35954,2.2278,1.5078,0.05556,0.08333,0.04167,0.00833,2.86556,24.3678,2.66263,0.0906999,0.000699938,0.000699938
12,14.2508,1.20352,1.68771,1.4183,0,0,0,0,2.8598,39.797,2.69108,0.089732,0.000731974,0.000731974
13,14.9594,1.68641,2.07188,1.87621,0,0,0,0,2.88028,50.9851,2.82574,0.0887571,0.00075711,0.00075711
14,15.42,1.21673,1.71427,1.41414,0,0,0,0,2.69374,78.2152,2.77087,0.0877753,0.000775344,0.000775344
15,15.8142,1.38796,1.65116,1.49779,0,0,0,0,2.95069,72.5176,3.26634,0.0867867,0.000786678,0.000786678
16,16.4504,1.43981,1.33572,1.46005,0,0,0,0,3.22883,62.2014,3.24281,0.0857911,0.000791109,0.000791109
17,16.783,1.2423,1.32173,1.44213,0,0,0,0,3.06449,65.2034,3.17089,0.0847886,0.00078864,0.00078864
18,17.1067,1.64133,1.83844,1.59586,0,0,0,0,3.06449,65.2034,3.17089,0.0837793,0.000779269,0.000779269
19,17.6572,1.1446,1.03333,1.28744,0,0,0,0,2.99386,53.5297,3.40329,0.082763,0.000762998,0.000762998
20,17.9998,1.30001,1.40499,1.42413,0,0,0,0,2.99386,53.5297,3.40329,0.0817398,0.000739824,0.000739824
21,23.9396,1.40086,2.18235,1.63645,0,0,0,0,2.80281,41.1238,3.10866,0.0807098,0.00070975,0.00070975
22,24.4688,1.10598,1.51997,1.27226,0,0,0,0,2.80281,41.1238,3.10866,0.0796728,0.000672774,0.000672774
23,24.8121,1.17735,1.59057,1.4365,0,0,0,0,2.76807,33.1217,2.83772,0.0786289,0.000628898,0.000628898
24,25.2669,0.95404,1.20449,1.2322,0,0,0,0,2.76807,33.1217,2.83772,0.0775781,0.000578119,0.000578119
25,25.6336,1.06606,1.1823,1.38192,0,0,0,0,2.65349,28.8845,2.5266,0.0765204,0.00052044,0.00052044
26,26.1989,0.93853,1.38839,1.25432,0,0,0,0,2.65349,28.8845,2.5266,0.0754559,0.000455859,0.000455859
27,26.5306,1.03659,1.06061,1.24007,0,0,0,0,2.60301,23.9982,2.46156,0.0743844,0.000384378,0.000384378
28,26.8906,0.9059,1.11258,1.21691,0,0,0,0,2.60301,23.9982,2.46156,0.073306,0.000305994,0.000305994
29,27.4891,1.03647,1.1696,1.25929,0,0,0,0,2.53995,18.7693,2.50587,0.0722207,0.00022071,0.00022071
30,28.0394,0.96627,1.03807,1.26391,0,0,0,0,2.53995,18.7693,2.50587,0.0711285,0.000128525,0.000128525
