epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.00182,0.95205,3.61016,1.08774,0.66817,0.51667,0.62226,0.37498,1.36407,1.86088,1.01079,0.1,0,0
2,9.83463,1.51985,4.52324,1.48216,0.66771,0.51667,0.58044,0.36665,1.37239,1.93047,1.01566,0.0990989,9.89267e-05,9.89267e-05
3,10.1932,1.42887,4.12005,1.21118,0.66631,0.51667,0.58041,0.36694,1.3815,1.97206,1.01547,0.0981911,0.000191107,0.000191107
4,10.5553,1.30538,3.97164,1.40958,0.78581,0.32753,0.37452,0.29677,1.39163,2.33306,0.99942,0.0972765,0.000276541,0.000276541
5,10.9075,1.20337,2.96513,1.23064,0.88972,0.35,0.35519,0.23948,1.74404,3.31345,1.12718,0.0963552,0.000355228,0.000355228
6,11.4565,1.24027,1.48333,1.07959,0.09091,0.18333,0.17154,0.1521,2.39487,6.67752,1.47419,0.0954272,0.000427168,0.000427168
7,11.7983,1.29592,1.77527,1.19806,0,0,0,0,3.37691,10.7324,2.63933,0.0944924,0.000492362,0.000492362
8,12.1555,1.42492,2.19502,1.35822,0,0,0,0,3.22257,12.8571,2.71198,0.0935508,0.00055081,0.00055081
9,12.5295,1.19737,1.40819,1.17933,0,0,0,0,3.22278,22.6766,2.89554,0.0926025,0.00060251,0.00060251
10,15.4849,1.09815,1.52663,1.08683,0,0,0,0,3.46026,35.4491,2.90484,0.0916475,0.000647465,0.000647465
11,16.054,1.499,1.84254,1.31786,0.04167,0.01667,0.03479,0.00696,3.18564,48.8242,2.69012,0.0906857,0.000685673,0.000685673
12,16.3868,1.38239,1.79887,1.30102,0,0,0,0,2.94724,45.4836,2.66898,0.0897171,0.000717134,0.000717134
13,16.7336,1.73828,2.12264,1.66619,0,0,0,0,2.97239,75.0474,2.51067,0.0887418,0.000741849,0.000741849
14,17.2813,1.24359,1.97549,1.22208,0,0,0,0,2.93153,64.7764,2.49706,0.0877598,0.000759817,0.000759817
15,17.8327,1.5723,1.6107,1.43608,0,0,0,0,3.20083,153.71,2.51592,0.086771,0.000771038,0.000771038
16,18.1763,1.515,1.25572,1.29167,0,0,0,0,3.55268,392.281,2.38655,0.0857755,0.000775513,0.000775513
17,18.5209,1.26923,1.37456,1.1741,0,0,0,0,3.80049,845.083,2.53046,0.0847732,0.000773242,0.000773242
18,19.0334,1.59985,2.83801,1.40562,0,0,0,0,3.80049,845.083,2.53046,0.0837642,0.000764224,0.000764224
19,19.3709,1.06941,1.63899,1.01254,0,0,0,0,3.9964,971.268,2.99656,0.0827485,0.000748459,0.000748459
20,19.6965,1.22579,1.61863,1.27318,0,0,0,0,3.9964,971.268,2.99656,0.0817259,0.000725948,0.000725948
21,25.3391,1.58703,1.83197,1.58909,0.00463,0.16667,0.03317,0.00594,4.00028,437.231,3.33801,0.0806967,0.00069669,0.00069669
22,25.677,1.60524,2.10257,1.48398,0.00463,0.16667,0.03317,0.00594,4.00028,437.231,3.33801,0.0796607,0.000660686,0.000660686
23,26.065,1.42652,1.604,1.33751,0.00303,0.16667,0.00663,0.00265,3.43665,206.115,2.50141,0.0786179,0.000617935,0.000617935
24,26.64,1.08938,1.3931,1.09024,0.00303,0.16667,0.00663,0.00265,3.43665,206.115,2.50141,0.0775684,0.000568438,0.000568438
25,27.0216,1.06627,1.10667,1.15769,0.0034,0.16667,0.00436,0.00175,3.06522,118.783,2.32858,0.0765122,0.000512194,0.000512194
26,27.534,1.41762,1.59827,1.26799,0.0034,0.16667,0.00436,0.00175,3.06522,118.783,2.32858,0.0754492,0.000449204,0.000449204
27,27.8827,1.21932,1.72572,1.02576,0.00463,0.16667,0.00518,0.00155,2.78465,86.0572,2.12741,0.0743795,0.000379467,0.000379467
28,28.232,1.07758,1.14517,1.09448,0.00463,0.16667,0.00518,0.00155,2.78465,86.0572,2.12741,0.073303,0.000302983,0.000302983
29,28.8477,1.38666,1.46138,1.3023,0,0,0,0,2.96845,51.0534,2.24138,0.0722198,0.000219753,0.000219753
30,29.184,1.1092,1.33225,1.28961,0,0,0,0,2.96845,51.0534,2.24138,0.0711298,0.000129776,0.000129776
