epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2668,0.93251,4.18719,1.15554,0.66723,0.51667,0.62239,0.37498,1.40921,2.18034,1.07012,0.1,0,0
2,15.9367,1.46836,5.12875,1.51292,0.66879,0.51667,0.58048,0.36666,1.41857,2.23985,1.07378,0.0991047,0.000104727,0.000104727
3,16.3785,1.32572,4.52661,1.26996,0.67018,0.51667,0.51801,0.35149,1.42529,2.2821,1.07517,0.0982023,0.00020231,0.00020231
4,16.8455,1.05678,4.71043,1.23464,0.79878,0.33046,0.42774,0.25158,1.91591,2.73829,1.22319,0.0972927,0.000292747,0.000292747
5,17.4105,1.39587,3.09741,1.40544,0.09012,0.28333,0.19029,0.16115,1.9891,6.75216,1.34903,0.096376,0.00037604,0.00037604
6,17.7534,1.29831,2.51649,1.23605,0.00116,0.01667,0.00279,0.00126,2.45193,12.3566,1.74549,0.0954522,0.000452187,0.000452187
7,18.3656,1.6273,2.54776,1.43403,0.00244,0.18333,0.00364,0.00073,2.68516,17.2179,1.90889,0.0945212,0.000521189,0.000521189
8,18.7285,1.61753,2.69434,1.63213,0.0005,0.16667,0.00062,0.00012,2.68711,34.5206,1.95012,0.093583,0.000583046,0.000583046
9,19.3567,1.44339,2.09251,1.45377,0,0,0,0,2.68654,51.7005,2.12849,0.0926378,0.000637758,0.000637758
10,22.0711,1.18336,1.90755,1.23186,0,0,0,0,2.89616,87.4729,2.56651,0.0916853,0.000685325,0.000685325
11,22.4324,1.4695,2.61967,1.33155,0.00106,0.16667,0.00122,0.00048,2.87313,103.044,2.70877,0.0907257,0.000725747,0.000725747
12,23.011,1.41637,2.20852,1.3356,0.00698,0.16667,0.01276,0.00383,3.05523,124.344,3.17912,0.089759,0.000759024,0.000759024
13,23.3617,1.71828,2.40473,1.66512,0.01032,0.16667,0.02369,0.00592,2.79902,124.658,3.07722,0.0887852,0.000785156,0.000785156
14,23.9766,1.61334,2.17014,1.43501,0.04383,0.16667,0.05528,0.0199,2.98675,125.515,3.41461,0.0878041,0.000804143,0.000804143
15,24.3277,1.49717,2.17709,1.38404,0.01967,0.16667,0.02369,0.01421,3.01086,138.249,3.40172,0.086816,0.000815984,0.000815984
16,24.9436,1.65132,1.65352,1.34218,0.07952,0.16667,0.08292,0.04975,3.29827,153.766,3.60581,0.0858207,0.000820681,0.000820681
17,25.2989,1.3053,1.58548,1.28109,0,0,0,0,3.16311,124.978,3.51232,0.0848182,0.000818233,0.000818233
18,25.6407,1.45024,2.3675,1.39548,0,0,0,0,3.16311,124.978,3.51232,0.0838086,0.000808639,0.000808639
19,26.2219,1.17932,1.28912,1.14203,0,0,0,0,3.05348,95.092,3.2454,0.0827919,0.000791901,0.000791901
20,26.7966,1.36509,1.64889,1.22209,0,0,0,0,3.05348,95.092,3.2454,0.081768,0.000768017,0.000768017
21,35.3189,1.72083,2.34321,1.58699,0,0,0,0,2.98794,77.2426,3.16368,0.080737,0.000736989,0.000736989
22,35.7356,1.68683,2.22922,1.66028,0,0,0,0,2.98794,77.2426,3.16368,0.0796988,0.000698815,0.000698815
23,36.085,1.64981,2.07608,1.49141,0,0,0,0,2.89936,69.0695,3.19122,0.0786535,0.000653496,0.000653496
24,36.417,1.14894,1.52435,1.12023,0,0,0,0,2.89936,69.0695,3.19122,0.077601,0.000601033,0.000601033
25,36.972,1.20691,1.60435,1.30765,0,0,0,0,2.88058,50.1263,3.15768,0.0765414,0.000541424,0.000541424
26,37.2919,1.24144,1.48848,1.23375,0,0,0,0,2.88058,50.1263,3.15768,0.0754747,0.00047467,0.00047467
27,37.6839,1.00178,1.43648,0.97748,0,0,0,0,2.94155,36.9879,3.29339,0.0744008,0.000400771,0.000400771
28,38.0045,0.8321,0.99742,1.00775,0,0,0,0,2.94155,36.9879,3.29339,0.0733197,0.000319727,0.000319727
29,38.353,0.97197,1.24893,1.08084,0,0,0,0,2.93902,31.3934,3.31811,0.0722315,0.000231538,0.000231538
30,38.9077,1.07348,1.49674,1.22309,0,0,0,0,2.93902,31.3934,3.31811,0.0711362,0.000136204,0.000136204
