epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9305,0.96423,5.37722,1.62825,0.66712,0.51667,0.62241,0.37496,1.33358,2.68292,1.37597,0.1,0,0
2,10.5529,1.41981,6.2901,1.94439,0.66757,0.51667,0.58041,0.36667,1.34019,2.7607,1.37924,0.0990694,6.94346e-05,6.94346e-05
3,11.0487,1.30569,5.73967,1.68212,0.66731,0.51667,0.5181,0.34599,1.35426,2.80907,1.38496,0.0981341,0.000134138,0.000134138
4,11.3791,1.17466,5.39434,1.82386,0.80769,0.35,0.33277,0.24374,1.48678,3.30623,1.39395,0.0971941,0.000194112,0.000194112
5,11.7693,1.24585,4.03258,1.78653,0.66426,0.25,0.29351,0.20676,1.93696,5.1316,1.69186,0.0962494,0.000249354,0.000249354
6,12.3285,1.05826,2.32376,1.54402,0.22359,0.33333,0.1317,0.06487,2.26559,12.0416,1.82175,0.0952999,0.000299866,0.000299866
7,12.8626,1.2816,3.28926,1.67774,0.16954,0.25,0.12936,0.02673,2.93357,11.1008,2.48647,0.0943456,0.000345646,0.000345646
8,13.1956,1.30982,2.7965,1.77886,0.16949,0.25,0.13072,0.02672,2.89435,10.5623,2.43053,0.0933867,0.000386696,0.000386696
9,13.5356,1.13487,1.9139,1.55319,0.00269,0.16667,0.00474,0.00233,2.84374,11.4631,2.66625,0.092423,0.000423016,0.000423016
10,14.0922,1.03351,2.13449,1.51188,0,0,0,0,3.18803,11.0946,3.37629,0.0914546,0.000454604,0.000454604
11,14.4385,1.2772,2.4556,1.63695,0,0,0,0,3.58078,10.367,4.12311,0.0904815,0.000481462,0.000481462
12,15.473,1.21344,2.25247,1.61589,0.00108,0.16667,0.00592,0.00118,3.14753,12.9567,3.63945,0.0895036,0.000503589,0.000503589
13,15.8422,1.49249,3.33975,1.97542,0,0,0,0,3.33159,51.1784,3.59054,0.088521,0.000520985,0.000520985
14,16.2026,1.11646,3.05348,1.67085,0,0,0,0,3.2617,121.036,3.19329,0.0875337,0.000533651,0.000533651
15,16.5553,1.29999,2.95012,1.73967,0,0,0,0,3.04026,224.428,3.07876,0.0865416,0.000541586,0.000541586
16,16.9082,1.40284,1.88109,1.62008,0,0,0,0,2.92917,322.707,3.08271,0.0855448,0.00054479,0.00054479
17,17.4541,1.17827,1.73759,1.60815,0.00205,0.16667,0.00286,0.00086,3.24352,338.138,3.76895,0.0845433,0.000543263,0.000543263
18,17.7889,1.30872,1.93078,1.69787,0.00205,0.16667,0.00286,0.00086,3.24352,338.138,3.76895,0.083537,0.000537005,0.000537005
19,18.1334,1.09488,1.56904,1.60626,0.00344,0.16667,0.00461,0.00138,3.22191,242.631,3.76613,0.082526,0.000526017,0.000526017
20,18.6529,1.1635,1.92885,1.69719,0.00344,0.16667,0.00461,0.00138,3.22191,242.631,3.76613,0.0815103,0.000510298,0.000510298
21,26.0701,1.24212,2.12261,1.79667,0.00248,0.16667,0.00345,0.00104,3.19191,122.312,3.57088,0.0804898,0.000489848,0.000489848
22,26.6232,1.11858,1.62797,1.52809,0.00248,0.16667,0.00345,0.00104,3.19191,122.312,3.57088,0.0794647,0.000464668,0.000464668
23,26.9765,1.16819,1.73961,1.63033,0.00582,0.16667,0.01036,0.00311,3.21564,75.6828,3.40148,0.0784348,0.000434756,0.000434756
24,27.3131,0.81429,1.34929,1.29779,0.00582,0.16667,0.01036,0.00311,3.21564,75.6828,3.40148,0.0774001,0.000400114,0.000400114
25,27.8638,0.96155,1.31912,1.35022,0.02052,0.16667,0.02369,0.00474,3.13422,45.8773,3.18797,0.0763607,0.000360742,0.000360742
26,28.1949,1.12768,1.40853,1.46163,0.02052,0.16667,0.02369,0.00474,3.13422,45.8773,3.18797,0.0753166,0.000316638,0.000316638
27,28.5521,0.8394,1.4968,1.27971,0.03181,0.16667,0.03317,0.00995,2.95021,29.2085,2.96173,0.0742678,0.000267804,0.000267804
28,28.8845,0.88159,1.44974,1.38591,0.03181,0.16667,0.03317,0.00995,2.95021,29.2085,2.96173,0.0732142,0.000214239,0.000214239
29,29.4394,0.91994,1.55224,1.3087,0.07533,0.15066,0.08292,0.03317,2.63119,23.0761,2.65361,0.0721559,0.000155943,0.000155943
30,29.7728,0.90639,1.45032,1.32106,0.07533,0.15066,0.08292,0.03317,2.63119,23.0761,2.65361,0.0710929,9.29161e-05,9.29161e-05
